# CONFIDENTIAL — manager universe export
# generated for internal review
Fund Name,Strategy,Fees,Fees,AUM,Notes
  Vantage Asset Management  ,CTA / Managed Futures,2/20,2/20,$85M,Key-person risk on founder.
,,,,,
  Juniper Fund  ,CTA / Managed Futures,2/17.5,2/17.5,$12B,Key-person risk on founder.
  Xenon Fund  ,Relative Value,1.75/10,1.75/10,$3.5B,AUM withheld pending NDA.
  Beacon Advisors  ,Fixed Income,1.25/10,1.25/10,$150M,New PM hired 2023.
  Tideline Credit Opportunities  ,Other,0.5/0,0.5/0,$12B,Uses "soft" gates in stress.
  Halcyon Associates  ,Market Neutral,0/0,0/0,,
  Westfield Holdings  ,Multi-Strategy,2.5/15,2.5/15,$1.2B,Short track record.
  Westfield Holdings  ,Credit,1.5/0,1.5/0,$20B,Uses "soft" gates in stress.
  Tideline Group  ,Market Neutral,1.75/30,1.75/30,$85M,Key-person risk on founder.
  Fjord Management  ,Market Neutral,2.5/17.5,2.5/17.5,$85M,Illiquid underlying positions.
  Zürich Macro Partners  ,L/S Equity,1/15,1/15,$1.2B,AUM withheld pending NDA.
  Crédit Alpha  ,Multi-Strategy,1.75/10,1.75/10,$25M,Concentrated book — top 5 = 60%.
  São Paulo Capital  ,Other,1/10,1/10,$150M,
  Müller Global  ,Credit,1/20,1/20,$150M,
  Ardent Investments  ,L/S Equity,1/10,1/10,$25M,Concentrated book — top 5 = 60%.
