Manager Name	Sub-Strategy	Dealing	Notice Days	Lockup	Mgmt	Perf	Fund Size	Inception Date	Comments
Vantage Asset Management	managed_futures	Daily	0	0	0.02	0.2	$85M	01/01/2021	Key-person risk on founder.
Juniper Fund	managed_futures	Annual	180	36	0.02	0.175	$12000M	07/01/2024	Key-person risk on founder.
Xenon Fund	relative_value	Monthly	60	12	0.0175	0.1	$3500M	01/01/2024	AUM withheld pending NDA.
Beacon Advisors	fixed_income	Weekly	120	36	0.0125	0.1	$150M	07/01/2024	New PM hired 2023.
Tideline Credit Opportunities	other	Quarterly	60	0	0.005	0	$12000M	01/01/2018	"Uses ""soft"" gates in stress."
Halcyon Associates	market_neutral	Quarterly	180	24				07/01/2024	
Westfield Holdings	multi_strategy	Quarterly	180	0	0.025	0.15	$1200M	01/01/2023	Short track record.
Westfield Holdings	credit	Monthly	15	0	0.015	0	$20000M	01/01/2015	"Uses ""soft"" gates in stress."
Tideline Group	market_neutral	Quarterly	5	24	0.0175	0.3	$85M	01/01/2024	Key-person risk on founder.
Fjord Management	market_neutral	Monthly	45	12	0.025	0.175	$85M	07/01/2023	Illiquid underlying positions.
Zürich Macro Partners	long_short_equity	Weekly	15	0	0.01	0.15	$1200M	01/01/2015	AUM withheld pending NDA.
Crédit Alpha	multi_strategy	Quarterly	30	6	0.0175	0.1	$25M	01/01/2020	Concentrated book — top 5 = 60%.
São Paulo Capital	other	Annual	45	0	0.01	0.1	$150M	07/01/2023	
Müller Global	credit	Daily	15	36	0.01	0.2	$150M	01/01/2018	
Ardent Investments	long_short_equity	Weekly	0	0	0.01	0.1	$25M	01/01/2015	Concentrated book — top 5 = 60%.
Northgate Associates	multi_strategy	Annual	90	36	0.01	0.15	$5M	07/01/2024	Concentrated book — top 5 = 60%.
Drawbridge Credit Opportunities	other	Annual	15	12	0.015	0.15	$85M	07/01/2024	
Xenon Investments	fixed_income	Daily	90	12	0.015	0.3	$450M	01/01/2020	
Pinnacle Associates	event_driven	Weekly	5	0	0.02	0	$150M	01/01/2022	AUM withheld pending NDA.
Delta Holdings	global_macro	Annual	45	36	0.015	0.175	$1200M	07/01/2023	Key-person risk on founder.
Quartz Fund	global_macro	Annual	90	6	0.025	0.3	$25M	01/01/2022	Short track record.
Riverstone Investments	relative_value	Semi-Annual	45	24	0.01	0.2	$1200M	07/01/2023	Concentrated book — top 5 = 60%.
Orion Associates	global_macro	Monthly	30	12	0.015	0.1	$25M	01/01/2015	Seasoned team; stable AUM.
Northgate Macro Fund	market_neutral	Annual	15	24	0.02	0.15	$3500M	01/01/2024	
