Account|Approach|Redemption Terms|Notice Period|Lock-up|Base Fee|Carry|AUM|Vintage|Remarks
Northgate Fund|Market Neutral|Daily|5|6|1|10|$85,000,000|January 01, 2023|AUM withheld pending NDA.
Echo Fund|Multi-Strategy|Daily|180|24|0.5|20|$3,500,000,000|January 01, 2021|Seasoned team; stable AUM.
Umbra Investments|Global Macro|Semi-Annual|120|0|2.5|10|$1,200,000,000|July 01, 2024|Seasoned team; stable AUM.
Riverstone Partners|CTA / Managed Futures|Monthly|120|12|0.5|30|$25,000,000|January 01, 2015|Seasoned team; stable AUM.
Cobalt Investments|CTA / Managed Futures|Weekly|180|6|1.25|15|$1,200,000,000|January 01, 2022|"Uses ""soft"" gates in stress."
Everest Macro Fund|Credit|Quarterly|90|12|2.5|0|$1,200,000,000|January 01, 2015|Seasoned team; stable AUM.
Pinnacle Investments|Credit|Semi-Annual|0|36|1.75|10|$12,000,000,000|January 01, 2024|Seasoned team; stable AUM.
Kestrel Associates|CTA / Managed Futures|Weekly|180|12|1.25|0|$150,000,000|July 01, 2024|AUM withheld pending NDA.
Fjord Asset Management|Market Neutral|Monthly|5|6|0.5|17.5|$450,000,000|January 01, 2024|Short track record.
Tideline Macro Fund|Multi-Strategy|Annual|60|24|2|15|$20,000,000,000|January 01, 2015|AUM withheld pending NDA.
Brightwater Investments|Market Neutral|Daily|90|0|0.5|0|$3,500,000,000|January 01, 2015|
Xenon Group|Credit|Semi-Annual|120|0|2.5|30|$450,000,000|January 01, 2021|Short track record.
Meridian Strategies|Relative Value|Annual|90|12|0.5|30|$20,000,000,000|January 01, 2020|
Brightwater Strategies|Global Macro|Quarterly|0|0|2.5|20|$450,000,000|January 01, 2024|Concentrated book — top 5 = 60%.
Drawbridge Holdings|L/S Equity|Weekly|0|24|2.5|0|$450,000,000|January 01, 2022|Seasoned team; stable AUM.
Alpha Partners|Market Neutral|Monthly|90|12|2|0|$20,000,000,000|January 01, 2024|AUM withheld pending NDA.
Xenon Strategies|Event Driven|Weekly|120|6|1.5|0|$85,000,000|July 01, 2023|"Uses ""soft"" gates in stress."
Ironwood Fund|Event Driven|Monthly|90|0|1.75|17.5|$5,000,000|July 01, 2023|Concentrated book — top 5 = 60%.
Pinnacle Macro Fund|Global Macro|Weekly|15|0|1.75|15|$12,000,000,000|January 01, 2023|New PM hired 2023.
Drawbridge Investments|Multi-Strategy|Annual|45|6|1.75|15|$3,500,000,000|January 01, 2023|Key-person risk on founder.
Harbour Capital|Event Driven|Semi-Annual|30|12|2|17.5|$5,000,000|January 01, 2020|AUM withheld pending NDA.
Granite Global|CTA / Managed Futures|Annual|30|6|1.25|15|$85,000,000|January 01, 2022|
