Fund,Month,Net Return
Vantage Asset Management,2021-01-01,-0.0366
Vantage Asset Management,2021-02-01,0.0062
Vantage Asset Management,2021-03-01,0.0452
Vantage Asset Management,2021-04-01,0.0364
Vantage Asset Management,2021-05-01,0.0183
Vantage Asset Management,2021-06-01,-0.0541
Vantage Asset Management,2021-07-01,0.0303
Vantage Asset Management,2021-08-01,-0.0326
Vantage Asset Management,2021-09-01,0.0407
Vantage Asset Management,2021-10-01,-0.1236
Vantage Asset Management,2021-11-01,0.0573
Vantage Asset Management,2021-12-01,0.0315
Vantage Asset Management,2022-01-01,-0.0527
Vantage Asset Management,2022-02-01,0.014
Vantage Asset Management,2022-03-01,0.0601
Vantage Asset Management,2022-04-01,0.0422
Vantage Asset Management,2022-05-01,-0.0909
Vantage Asset Management,2022-06-01,-0.0475
Vantage Asset Management,2022-07-01,-0.042
Vantage Asset Management,2022-08-01,0.0696
Vantage Asset Management,2022-09-01,-0.0197
Vantage Asset Management,2022-10-01,0.0741
Vantage Asset Management,2022-11-01,-0.0298
Vantage Asset Management,2022-12-01,0.055
Vantage Asset Management,2023-01-01,-0.0232
Vantage Asset Management,2023-02-01,-0.0022
Vantage Asset Management,2023-03-01,-0.0332
Vantage Asset Management,2023-04-01,-0.0357
Vantage Asset Management,2023-05-01,-0.0886
Vantage Asset Management,2023-06-01,-0.0282
Vantage Asset Management,2023-07-01,0.0592
Vantage Asset Management,2023-08-01,0.0041
Vantage Asset Management,2023-09-01,-0.0547
Vantage Asset Management,2023-10-01,0.057
Vantage Asset Management,2023-11-01,0.0251
Vantage Asset Management,2023-12-01,-0.0129
Vantage Asset Management,2024-01-01,-0.0232
Vantage Asset Management,2024-02-01,0.0997
Vantage Asset Management,2024-03-01,-0.009
Vantage Asset Management,2024-04-01,-0.0205
Vantage Asset Management,2024-05-01,-0.106
Vantage Asset Management,2024-06-01,-0.0111
Vantage Asset Management,2024-07-01,0.0503
Vantage Asset Management,2024-08-01,-0.113
Vantage Asset Management,2024-09-01,-0.0144
Vantage Asset Management,2024-10-01,-0.0468
Vantage Asset Management,2024-11-01,-0.0762
Vantage Asset Management,2024-12-01,0.0155
Juniper Fund,2024-07-01,0.19%
Juniper Fund,2024-08-01,1.91%
Juniper Fund,2024-09-01,-0.25%
Juniper Fund,2024-10-01,-0.78%
Juniper Fund,2024-11-01,0.01%
Juniper Fund,2024-12-01,-0.13%
Xenon Fund,2023-01-01,-1.6%
Xenon Fund,2023-02-01,4.65%
Xenon Fund,2023-03-01,-2.3%
Xenon Fund,2023-04-01,0.44%
Xenon Fund,2023-05-01,-2.52%
Xenon Fund,2023-06-01,2.02%
Xenon Fund,2023-07-01,3.46%
Xenon Fund,2023-08-01,0.72%
