Fund ID,Fund Name,Strategy,Redemption,Notice (days),Lockup (months),Mgmt Fee,Perf Fee,AUM (USD),Inception,Notes
F0001,Vantage Asset Management,CTA / Managed Futures,Daily,0,0,2%,20%,"$85,000,000",2021-01-01,Key-person risk on founder.
F0002,Juniper Fund,CTA / Managed Futures,Annual,180,36,2%,17.5%,"$12,000,000,000",2024-07-01,Key-person risk on founder.
F0003,Xenon Fund,Relative Value,Monthly,60,12,1.75%,10%,"$3,500,000,000",2024-01-01,AUM withheld pending NDA.
F0004,Beacon Advisors,Fixed Income,Weekly,120,36,1.25%,10%,"$150,000,000",2024-07-01,New PM hired 2023.
F0005,Tideline Credit Opportunities,Other,Quarterly,60,0,0.5%,0%,"$12,000,000,000",2018-01-01,"Uses ""soft"" gates in stress."
F0006,Halcyon Associates,Market Neutral,Quarterly,180,24,,,,2024-07-01,
F0007,Westfield Holdings,Multi-Strategy,Quarterly,180,0,2.5%,15%,"$1,200,000,000",2023-01-01,Short track record.
F0008,Westfield Holdings,Credit,Monthly,15,0,1.5%,0%,"$20,000,000,000",2015-01-01,"Uses ""soft"" gates in stress."
F0009,Tideline Group,Market Neutral,Quarterly,5,24,1.75%,30%,"$85,000,000",2024-01-01,Key-person risk on founder.
F0010,Fjord Management,Market Neutral,Monthly,45,12,2.5%,17.5%,"$85,000,000",2023-07-01,Illiquid underlying positions.
F0011,Zürich Macro Partners,L/S Equity,Weekly,15,0,1%,15%,"$1,200,000,000",2015-01-01,AUM withheld pending NDA.
F0012,Crédit Alpha,Multi-Strategy,Quarterly,30,6,1.75%,10%,"$25,000,000",2020-01-01,Concentrated book — top 5 = 60%.
F0013,São Paulo Capital,Other,Annual,45,0,1%,10%,"$150,000,000",2023-07-01,
F0014,Müller Global,Credit,Daily,15,36,1%,20%,"$150,000,000",2018-01-01,
F0015,Ardent Investments,L/S Equity,Weekly,0,0,1%,10%,"$25,000,000",2015-01-01,Concentrated book — top 5 = 60%.
